   Step          Temp          E_pair         E_mol          TotEng         Press          Volume    
    334000   1209.4804     -2306.0635      0             -2149.8822      2585.8514      16180.019    
    336000   1141.6479     -2302.7924      0             -2155.3704     -1434.2615      16265.526    
    338000   1160.9663     -2305.3359      0             -2155.4193      2759.5959      16176.515    
    340000   1134.5878     -2305.1827      0             -2158.6724      1115.5187      16204.259    
    342000   1180.1289     -2298.359       0             -2145.9679     -245.6438       16267.366    
    344000   1196.0337     -2299.9628      0             -2145.5179      587.13844      16255.69     
    346000   1145.0869     -2297.9088      0             -2150.0427     -1656.2173      16294.129    
    348000   1202.5957     -2300.0293      0             -2144.7371      3295.0192      16192.536    
    350000   1154.7314     -2296.552       0             -2147.4405     -1705.1454      16307.94     
    352000   1194.3174     -2305.4794      0             -2151.2561      1262.3557      16211.122    
    354000   1132.0954     -2300.2525      0             -2154.064      -8.2889231      16249.359    
    356000   1145.5087     -2301.1024      0             -2153.1818      3978.949       16163.259    
    358000   1167.2872     -2302.7868      0             -2152.0539     -310.55221      16251.291    
    360000   1142.2811     -2296.2249      0             -2148.7211     -1761.0206      16299.029    
    362000   1191.9153     -2300.487       0             -2146.5739      221.84263      16252.869    
    364000   1175.5239     -2298.9228      0             -2147.1264     -2822.5383      16324.855    
    366000   1143.2884     -2299.665       0             -2152.0311      2651.0789      16196.806    
    368000   1238.1099     -2294.7833      0             -2134.9051      739.73621      16285.851    
    370000   1182.1174     -2300.3652      0             -2147.7174     -1829.8019      16289.168    
    372000   1180.495      -2296.8604      0             -2144.4221      207.59702      16267.818    
    374000   1168.5964     -2296.3687      0             -2145.4668      3878.9888      16198.886    
    376000   1227.4558     -2304.8885      0             -2146.3861      2593.2382      16188.636    
    378000   1184.1702     -2295.6937      0             -2142.7807     -2243.4477      16331.281    
    380000   1163.4783     -2297.0324      0             -2146.7914     -1232.4783      16294.8      
    382000   1206.9724     -2294.7525      0             -2138.895       4835.3775      16182.967    
    384000   1151.3814     -2286.2746      0             -2137.5957     -123.10686      16332.281    
    386000   1220.3262     -2293.0212      0             -2135.4394      1824.7562      16261.393    
    388000   1212.0627     -2295.8941      0             -2139.3794     -269.86108      16293.797    
    390000   1184.9846     -2294.9172      0             -2141.8991      1317.8563      16257.18     
    392000   1216.7088     -2298.2971      0             -2141.1824      460.77959      16264.522    
    394000   1207.6017     -2290.7165      0             -2134.7778     -3798.1499      16395.921    
    396000   1253.5916     -2293.7147      0             -2131.8373      1462.6166      16273.118    
    398000   1191.3792     -2299.644       0             -2145.8002      2312.8947      16209.925    
    400000   1223.2583     -2294.0639      0             -2136.1035      1369.7983      16267.299    
    402000   1228.5829     -2296.0874      0             -2137.4394     -138.86305      16289.324    
    404000   1187.5133     -2301.9925      0             -2148.6478      2657.1511      16194.596    
    406000   1244.339      -2300.7311      0             -2140.0486      1773.6071      16230.894    
    408000   1177.2295     -2301.4144      0             -2149.3977     -1956.5607      16294.587    
    410000   1209.6901     -2299.1096      0             -2142.9013      318.75247      16259.641    
    412000   1227.9752     -2290.6288      0             -2132.0593      1747.3974      16273.933    
    414000   1221.9391     -2296.8191      0             -2139.0291     -357.50046      16298.437    
    416000   1207.0652     -2299.9633      0             -2144.0939      439.15441      16255.697    
    418000   1153.2607     -2303.8772      0             -2154.9556      1456.562       16201.389    
    420000   1227.2996     -2297.6534      0             -2139.1711      2216.0095      16229.546    
    422000   1180.7489     -2290.3228      0             -2137.8517     -3033.9568      16378.277    
    424000   1200.8962     -2292.1322      0             -2137.0594      293.45145      16295.367    
    426000   1248.1516     -2292.5191      0             -2131.3442     -5056.6624      16428.86     
    428000   1294.5864     -2295.3698      0             -2128.1988     -687.72723      16318.587    
    430000   1167.1354     -2296.5126      0             -2145.7994     -4084.8959      16367.587    
    432000   1215.3628     -2297.7959      0             -2140.855      -1112.4235      16303.809    
    434000   1247.5193     -2290.4189      0             -2129.3257      2849.273       16258.067    
    436000   1252.9212     -2298.4567      0             -2136.6658      1007.404       16265.34     
    438000   1235.3436     -2289.7997      0             -2130.2786     -350.68792      16327.483    
    440000   1191.5792     -2281.9736      0             -2128.1039     -1433.0189      16394.13     
    442000   1215.1327     -2292.5537      0             -2135.6426     -2254.1359      16353.622    
    444000   1216.2603     -2283.3126      0             -2126.2558     -1548.4605      16389.297    
    446000   1181.7382     -2294.2061      0             -2141.6072     -759.45676      16303.163    
    448000   1184.0993     -2291.5811      0             -2138.6773      3642.2553      16225.264    
    450000   1242.2056     -2301.8709      0             -2141.4638      8574.5673      16087.926    
    452000   1216.2587     -2291.435       0             -2134.3784     -1313.321       16345.402    
    454000   1210.1328     -2289.6993      0             -2133.4338     -1533.4983      16354.275    
    456000   1251.4319     -2289.6652      0             -2128.0667      73.796987      16329.652    
    458000   1218.2609     -2296.1327      0             -2138.8176     -510.065        16301.437    
    460000   1247.2738     -2281.2971      0             -2120.2355      993.3306       16350.962    
    462000   1270.8031     -2296.1313      0             -2132.0313     -875.2581       16312.444    
    464000   1259.8217     -2291.7716      0             -2129.0897      1190.1798      16291.738    
    466000   1194.7234     -2286.355       0             -2132.0793      1559.4483      16309.829    
    468000   1242.0212     -2301.9985      0             -2141.6152      5250.6882      16147.01     
    470000   1221.0563     -2284.5591      0             -2126.883      -606.04773      16367.027    
    472000   1252.5846     -2295.6926      0             -2133.9453     -904.41975      16311.649    
    474000   1244.5049     -2287.6196      0             -2126.9156     -1821.4082      16382.253    
    476000   1243.5156     -2294.437       0             -2133.8607      1706.966       16264.628    
    478000   1244.4186     -2289.17        0             -2128.4771      4513.2799      16233.408    
    480000   1319.2846     -2282.3029      0             -2111.9425      1972.2303      16332.718    
    482000   1199.8192     -2291.5514      0             -2136.6177     -303.55159      16315.009    
    484000   1282.6814     -2295.2424      0             -2129.6086      2361.7671      16253.488    
    486000   1241.3493     -2293.2798      0             -2132.9832      2436.9636      16254.274    
    488000   1220.1478     -2287.9981      0             -2130.4393     -33.539149      16331.359    
    490000   1204.8251     -2290.2199      0             -2134.6398      4699.144       16222.088    
    492000   1176.4242     -2297.0348      0             -2145.1221      2818.9746      16212.66     
    494000   1294.3755     -2290.065       0             -2122.9212      935.65665      16312.015    
    496000   1195.0035     -2287.5189      0             -2133.207      -356.55702      16333.393    
    498000   1231.9426     -2292.4617      0             -2133.3798     -1123.775       16329.258    
    500000   1272.8366     -2290.8378      0             -2126.4753     -1672.2946      16359.035    
    502000   1276.6696     -2291.7482      0             -2126.8907      97.12943       16313.124    
    504000   1199.2285     -2293.2849      0             -2138.4275     -1327.2593      16324.876    
    506000   1265.6878     -2290.6939      0             -2127.2546     -2693.2199      16375.906    
    508000   1238.6851     -2292.5269      0             -2132.5744      52.766253      16308.823    
    510000   1257.9132     -2297.7335      0             -2135.2981      2704.6731      16230.312    
    512000   1235.9466     -2288.9801      0             -2129.3812     -1100.667       16350.08     
    514000   1258.8377     -2282.4595      0             -2119.9047     -1139.6469      16390.002    
    516000   1207.0069     -2286.5127      0             -2130.6508      4556.2792      16244.701    
    518000   1236.0251     -2288.5033      0             -2128.8943      909.53008      16307.143    
    520000   1317.3297     -2284.418       0             -2114.3101      1816.1419      16327.32     
    522000   1210.4196     -2284.6418      0             -2128.3392     -389.74451      16356.248    
    524000   1238.9171     -2296.1203      0             -2136.1378      2846.2607      16228.342    
    526000   1284.8275     -2288.9503      0             -2123.0394      638.00951      16321.879    
    528000   1289.736      -2285.5463      0             -2119.0016      2280.4713      16310.319    
    530000   1248.478      -2289.1071      0             -2127.89        713.59331      16314.224    
    532000   1263.121      -2292.9391      0             -2129.8312      2971.4642      16249.304    
    534000   1286.0013     -2286.2855      0             -2120.223       5254.6838      16241.061    
    536000   1300.75       -2295.7176      0             -2127.7506      3306.277       16248.641    
    538000   1286.8374     -2291.1314      0             -2124.961      -409.54044      16327.22     
    540000   1302.8505     -2277.8157      0             -2109.5775      2131.0499      16363.479    
    542000   1330.0551     -2291.8487      0             -2120.0975      4744.7504      16229.775    
    544000   1263.4343     -2286.515       0             -2123.3666     -1341.9483      16378.878    
    546000   1275.6111     -2283.2628      0             -2118.5421     -4183.1849      16455.621    
    548000   1306.6824     -2274.3617      0             -2105.6287     -7659.8325      16592.868    
    550000   1223.1727     -2283.6154      0             -2125.6661     -637.46403      16370.822    
    552000   1328.7897     -2297.2494      0             -2125.6617      3393.1344      16232.493    
    554000   1280.3205     -2290.8292      0             -2125.5003      57.425659      16321.199    
    556000   1331.9311     -2278.7902      0             -2106.7967     -2546.3188      16456.196    
    558000   1311.9814     -2271.0945      0             -2101.6771     -1988.7135      16479.368    
    560000   1266.2348     -2287.3623      0             -2123.8522      4984.5394      16234.544    
    562000   1267.5021     -2277.0475      0             -2113.3739     -1030.8727      16415.786    
    564000   1260.6496     -2278.0365      0             -2115.2477     -2559.4956      16449.053    
    566000   1280.96       -2289.962       0             -2124.5505     -2078.5798      16378.398    
    568000   1257.0919     -2275.3756      0             -2113.0462      235.8896       16396.194    
    570000   1349.44       -2274.2731      0             -2100.0187      428.05664      16417.751    
    572000   1254.7814     -2285.702       0             -2123.671       2866.6801      16286.455    
    574000   1297.216      -2285.4675      0             -2117.9569      2446.0887      16312.728    
    576000   1293.3236     -2281.5306      0             -2114.5225     -3411.2163      16441.653    
    578000   1303.0391     -2286.544       0             -2118.2814      4956.1807      16247.078    
    580000   1281.0763     -2277.6262      0             -2112.1997      298.31612      16390.347    
    582000   1328.2539     -2286.3882      0             -2114.8696      3667.4976      16280.177    
    584000   1289.3251     -2274.3192      0             -2107.8275     -4087.3975      16501.881    
    586000   1276.5031     -2293.7347      0             -2128.8987      4852.4483      16213.603    
    588000   1317.0492     -2289.2548      0             -2119.183       1585.318       16315.554    
    590000   1257.2696     -2280.7596      0             -2118.4073     -1081.9827      16396.587    
    592000   1280.8559     -2287.9791      0             -2122.5811     -1720.8012      16381.96     
    594000   1311.6344     -2273.2256      0             -2103.8531      206.525        16423.869    
    596000   1342.5959     -2282.2211      0             -2108.8505      294.8857       16378.196    
    598000   1333.7028     -2276.6669      0             -2104.4446      372.02361      16398.204    
    600000   1272.3237     -2280.5157      0             -2116.2195      2442.2273      16335.517    
    602000   1312.4985     -2276.8706      0             -2107.3866     -292.85609      16415.643    
    604000   1255.4873     -2273.1088      0             -2110.9867     -6524.293       16551.772    
    606000   1281.4143     -2280.8239      0             -2115.3538      923.77023      16359.776    
    608000   1276.5437     -2268.7475      0             -2103.9063     -2666.0451      16509.382    
    610000   1292.8833     -2270.1585      0             -2103.2073     -5042.0533      16547.097    
    612000   1337.7089     -2277.2054      0             -2104.4658     -1340.8342      16436.346    
    614000   1285.144      -2278.0681      0             -2112.1163     -160.6901       16398.148    
    616000   1285.8703     -2277.3933      0             -2111.3478      1.5863823      16399.688    
    618000   1308.6028     -2278.9504      0             -2109.9693     -2457.4488      16448.836    
    620000   1327.2546     -2276.1421      0             -2104.7525     -2374.6156      16464.12     
    622000   1319.4239     -2270.474       0             -2100.0956     -1246.1226      16478.693    
    624000   1357.031      -2279.4916      0             -2104.2569      6951.7842      16258.441    
    626000   1282.5975     -2267.9006      0             -2102.2777     -2711.0819      16518.405    
    628000   1338.1126     -2280.705       0             -2107.9133      3580.2621      16319.83     
    630000   1336.3377     -2271.2123      0             -2098.6498     -1068.819       16466.374    
    632000   1298.9664     -2281.7434      0             -2114.0067      501.18372      16364.928    
    634000   1308.9755     -2278.9415      0             -2109.9123      19.471407      16393.327    
    636000   1289.9001     -2286.0458      0             -2119.4798      6.3686602      16351.176    
    638000   1240.7952     -2266.526       0             -2106.301      -2014.6588      16490.239    
    640000   1331.3086     -2272.2445      0             -2100.3315      1781.9036      16395.537    
    642000   1254.1865     -2279.3969      0             -2117.4426      761.62802      16369.203    
    644000   1311.8997     -2279.1766      0             -2109.7699     -1694.3558      16425.753    
    646000   1327.7228     -2267.9002      0             -2096.4501     -880.13575      16474.519    
    648000   1280.8358     -2280.1375      0             -2114.742       61.015375      16378.235    
    650000   1325.6479     -2281.1702      0             -2109.9881      2450.328       16338.245    
    652000   1319.0033     -2261.2973      0             -2090.9732     -955.23002      16518.844    
    654000   1291.6415     -2278.1232      0             -2111.3324      2219.2402      16340.461    
    656000   1412.6152     -2259.023       0             -2076.6107     -357.89344      16528.749    
    658000   1315.6026     -2283.7571      0             -2113.8722      280.48016      16367.383    
    660000   1360.9885     -2265.2117      0             -2089.4661     -3285.6515      16555.41     
    662000   1296.0657     -2282.6743      0             -2115.3122     -1223.1459      16394.553    
    664000   1308.4652     -2276.6198      0             -2107.6566      4507.1772      16314.734    
    666000   1227.2719     -2272.1158      0             -2113.6371     -6323.4032      16550.504    
    668000   1312.3409     -2270.3935      0             -2100.9298      2248.4501      16397.149    
    670000   1314.9267     -2281.2258      0             -2111.4281     -1547.0572      16416.353    
