LAMMPS data file via write_data, version 4 Jul 2026, timestep = 105000, units = metal

40656 atoms
1 atom types

0 79.53 xlo xhi
0 79.53 ylo yhi
0 112.06500000000001 zlo zhi

Masses

1 63.546

Atoms # atomic

24 1 18.075000000000003 1.8075 1.8075 0 0 0
107 1 16.267500000000002 3.615 1.8075 0 0 0
109 1 18.075000000000003 3.615 0 0 0 0
1954 1 16.267500000000002 1.8075 3.615 0 0 0
1957 1 18.075000000000003 0 3.615 0 0 0
2045 1 18.075000000000003 3.615 3.615 0 0 0
22 1 19.8825 1.8075 0 0 0 0
23 1 19.8825 0 1.8075 0 0 0
25 1 21.69 0 0 0 0 0
28 1 21.69 1.8075 1.8075 0 0 0
111 1 19.8825 3.615 1.8075 0 0 0
113 1 21.69 3.615 0 0 0 0
1958 1 19.8825 1.8075 3.615 0 0 0
1961 1 21.69 0 3.615 0 0 0
2049 1 21.69 3.615 3.615 0 0 0
26 1 23.497500000000002 1.8075 0 0 0 0
27 1 23.497500000000002 0 1.8075 0 0 0
29 1 25.305 0 0 0 0 0
32 1 25.305 1.8075 1.8075 0 0 0
115 1 23.497500000000002 3.615 1.8075 0 0 0
117 1 25.305 3.615 0 0 0 0
1962 1 23.497500000000002 1.8075 3.615 0 0 0
1965 1 25.305 0 3.615 0 0 0
2053 1 25.305 3.615 3.615 0 0 0
30 1 27.1125 1.8075 0 0 0 0
31 1 27.1125 0 1.8075 0 0 0
33 1 28.92 0 0 0 0 0
36 1 28.92 1.8075 1.8075 0 0 0
119 1 27.1125 3.615 1.8075 0 0 0
121 1 28.92 3.615 0 0 0 0
1966 1 27.1125 1.8075 3.615 0 0 0
1969 1 28.92 0 3.615 0 0 0
2057 1 28.92 3.615 3.615 0 0 0
34 1 30.727500000000003 1.8075 0 0 0 0
35 1 30.727500000000003 0 1.8075 0 0 0
37 1 32.535000000000004 0 0 0 0 0
40 1 32.535000000000004 1.8075 1.8075 0 0 0
123 1 30.727500000000003 3.615 1.8075 0 0 0
125 1 32.535000000000004 3.615 0 0 0 0
1970 1 30.727500000000003 1.8075 3.615 0 0 0
1973 1 32.535000000000004 0 3.615 0 0 0
2061 1 32.535000000000004 3.615 3.615 0 0 0
38 1 34.3425 1.8075 0 0 0 0
39 1 34.3425 0 1.8075 0 0 0
41 1 36.150000000000006 0 0 0 0 0
44 1 36.150000000000006 1.8075 1.8075 0 0 0
127 1 34.3425 3.615 1.8075 0 0 0
129 1 36.150000000000006 3.615 0 0 0 0
1974 1 34.3425 1.8075 3.615 0 0 0
1977 1 36.150000000000006 0 3.615 0 0 0
2065 1 36.150000000000006 3.615 3.615 0 0 0
42 1 37.9575 1.8075 0 0 0 0
43 1 37.9575 0 1.8075 0 0 0
45 1 39.765 0 0 0 0 0
46 1 41.572500000000005 1.8075 0 0 0 0
47 1 41.572500000000005 0 1.8075 0 0 0
48 1 39.765 1.8075 1.8075 0 0 0
131 1 37.9575 3.615 1.8075 0 0 0
133 1 39.765 3.615 0 0 0 0
135 1 41.572500000000005 3.615 1.8075 0 0 0
1978 1 37.9575 1.8075 3.615 0 0 0
1981 1 39.765 0 3.615 0 0 0
1982 1 41.572500000000005 1.8075 3.615 0 0 0
2069 1 39.765 3.615 3.615 0 0 0
49 1 43.38 0 0 0 0 0
50 1 45.1875 1.8075 0 0 0 0
51 1 45.1875 0 1.8075 0 0 0
52 1 43.38 1.8075 1.8075 0 0 0
137 1 43.38 3.615 0 0 0 0
139 1 45.1875 3.615 1.8075 0 0 0
